Customer_ID,Age,Gender,Annual_Income,Total_Purchases,Average_Purchase_Value,Product_Category_Most_Purchased,Website_Visits_Last_Month,Marketing_Emails_Opened,Hours_Spent_on_Support_Calls,Churn,Future_Purchase,K-Means Cluster Value,Hierachial Cluster Value
1,39,Male,44520,4,44.29188254548638,Clothing,12,3,0.3602584432259065,0,1,C1,C2
2,33,Female,52770,3,121.96392236486822,Electronics,12,8,0.1412996459220905,1,1,C1,C2
3,41,Male,29793,5,100.59988477386352,Electronics,9,4,0.4828327898355598,0,1,C1,C2
4,50,Female,35425,1,94.84341246727936,Home,6,4,0.2277147849045349,0,1,C1,C2
5,32,Male,68006,6,119.6808290580896,Books,6,3,1.0328187999176206,0,1,C1,C2
6,32,Male,40146,6,134.58579351447955,Clothing,8,8,5.203935657741123,0,0,C2,C3
7,50,Male,34296,6,109.71431682707994,Health,16,6,0.0120818556540621,0,1,C1,C2
8,42,Male,58049,6,132.1742776609779,Books,12,6,0.7785303854591541,0,1,C1,C2
9,30,Female,67785,3,68.9343349494604,Home,13,5,0.8525336039502516,0,1,C1,C2
10,40,Male,60784,5,113.31897675668132,Books,5,5,2.4558387215682544,0,0,C2,C3
11,30,Female,64940,2,97.35992294291457,Home,8,3,0.7052305609758809,0,1,C1,C2
12,30,Male,38648,5,84.23561790567365,Electronics,10,5,0.7846079022631696,0,0,C1,C2
13,37,Male,28672,3,61.42637130274316,Electronics,15,4,0.6380016381407394,0,0,C1,C2
14,15,Male,72520,3,112.23574098005328,Books,3,8,0.3132109174877548,0,1,C1,C2
15,17,Female,45159,5,117.50580106833058,Clothing,10,6,0.0576599748053553,0,1,C1,C2
16,29,Male,46237,11,126.84045501986496,Health,8,5,0.5253602113389322,0,0,C1,C2
17,24,Female,69922,7,123.52980875270065,Home,8,3,0.0540248862537981,1,1,C1,C2
18,38,Female,58343,7,84.5658062588326,Health,11,6,0.7996026720760174,0,1,C1,C2
19,25,Female,56838,4,125.8141103062426,Electronics,9,3,0.3671490972125069,1,0,C1,C2
20,20,Female,82475,1,127.92695007823689,Clothing,11,4,0.7627167930273524,0,0,C1,C2
21,49,Female,40347,4,94.80032149494588,Clothing,13,4,0.1442133442344864,1,0,C1,C2
22,32,Female,63917,5,100.56856527423436,Health,8,5,2.6975549554652365,0,1,C2,C3
23,35,Female,50855,4,81.31691585900916,Electronics,8,6,2.249245707004686,0,1,C2,C3
24,20,Female,54028,4,129.61772581306664,Health,13,4,0.2107167216981297,0,1,C1,C2
25,29,Female,72927,7,69.76425708062129,Books,9,3,0.4207477195244278,0,1,C1,C2
26,36,Male,57617,6,110.6994134472754,Clothing,10,5,0.9506047095822608,0,1,C1,C2
27,23,Male,58074,8,88.06341623768574,Clothing,11,6,0.1005788630086658,0,1,C1,C2
28,38,Male,66087,4,77.84294360886977,Books,7,4,0.4378351417849833,0,1,C1,C2
29,28,Male,44525,3,62.50543438877184,Electronics,9,4,0.2891662223495944,0,0,C1,C2
30,32,Male,37411,0,95.69187744058014,Clothing,10,8,2.471201737196904,1,0,C2,C3
31,28,Female,34327,4,74.7082977080419,Home,9,8,1.9139992162376345,0,0,C1,C3
32,53,Female,20504,1,101.12838906547609,Home,7,9,0.8671024119003704,0,1,C1,C2
33,34,Female,80843,4,135.3867464680125,Electronics,11,6,0.7346909706610804,0,1,C1,C2
34,24,Female,33451,3,103.99014652877776,Books,9,4,2.6696826577380204,0,0,C2,C3
35,43,Female,46681,5,139.94561004569297,Health,8,4,2.694558371223968,0,1,C2,C3
36,22,Female,45847,6,80.35453493043693,Electronics,12,4,3.4844743879742217,0,1,C2,C3
37,37,Female,54611,6,74.38118400001305,Health,6,4,0.1339644968099589,0,1,C1,C2
38,15,Male,62236,4,79.45968823543444,Electronics,16,8,0.1750176681629124,1,1,C1,C2
39,21,Male,62907,4,98.69798922489392,Home,13,6,1.1292881134679744,0,1,C1,C2
40,36,Male,41253,5,154.45897375448607,Books,12,6,0.7796520893386434,0,0,C1,C2
41,42,Male,47493,1,66.75770572897119,Home,8,4,0.0186385281137272,0,0,C1,C2
42,36,Female,54238,9,112.3932623632485,Books,14,7,0.0639787162463927,0,1,C1,C2
43,33,Female,46269,7,86.00069327918933,Health,11,6,2.1899743640954075,0,1,C2,C3
44,31,Female,74110,5,95.52393897898074,Electronics,9,3,2.031572148256462,0,0,C2,C3
45,20,Male,57364,4,74.83960177467326,Clothing,6,7,0.4420319841182321,0,1,C1,C2
46,27,Female,61023,5,117.5827664807908,Clothing,12,4,2.2168718801181844,0,1,C2,C3
47,30,Female,59943,4,99.12149734089756,Books,8,3,0.900602130092408,0,0,C1,C2
48,45,Female,67602,1,121.74907101388332,Books,13,6,1.639410882578676,1,0,C1,C2
49,38,Male,52715,3,103.5049038806512,Home,10,6,0.5576221510810572,0,0,C1,C2
50,17,Female,30547,7,61.3675204564625,Clothing,7,3,0.1203594700780038,0,1,C1,C2
51,38,Male,55995,6,121.93085591950428,Home,5,4,0.5686790955368947,0,1,C1,C2
52,31,Male,40229,10,59.73998735380639,Health,10,9,0.6111982256941221,0,0,C1,C2
53,28,Male,42070,4,62.60194634167176,Clothing,11,6,0.8006081090759324,0,1,C1,C2
54,41,Male,58795,5,81.65594639736727,Health,12,6,0.1115828486200876,0,0,C1,C2
55,45,Female,68574,6,81.92288916095328,Electronics,11,4,4.7562097328668855,0,1,C2,C3
56,44,Male,50319,6,127.92042730762964,Home,6,3,0.2798948990847582,0,0,C1,C2
57,26,Male,54632,8,96.57687226499272,Books,11,4,0.2213356909004485,0,1,C1,C2
58,31,Female,75533,4,124.94770583949328,Clothing,8,4,0.7482433152315376,0,1,C1,C2
59,38,Female,53611,3,88.64165042828094,Home,8,4,0.7704779575329043,0,1,C1,C2
60,44,Male,89025,3,106.3529273802127,Books,16,4,0.579498435465477,1,1,C1,C2
61,30,Female,58482,9,109.48084623024413,Electronics,9,5,1.477936719443902,0,1,C1,C2
62,33,Male,23588,7,113.921308341541,Clothing,15,4,0.7270233547547467,0,1,C1,C2
63,23,Male,61300,2,90.70147651168324,Health,7,6,0.9408279603462858,0,0,C1,C2
64,23,Male,55717,2,92.44290222430212,Electronics,9,4,1.286435941739072,0,1,C1,C2
65,43,Male,69346,4,94.03738841468312,Books,12,5,0.0253435535094124,0,1,C1,C2
66,48,Female,60097,6,66.95175219406391,Clothing,7,2,0.8454692925087023,0,1,C1,C2
67,34,Male,47923,9,98.32196273463406,Clothing,12,5,2.155842970841068,0,0,C2,C3
68,45,Female,31635,11,92.3263148984744,Electronics,9,3,0.0175417028970053,0,1,C1,C2
