Customer_ID,Age,Annual_Income,Total_Purchases,Average_Purchase_Value,Website_Visits_Last_Month,Marketing_Emails_Opened,Hours_Spent_on_Support_Calls,Future_Purchase
1,0.5211267605633804,0.42722853555677176,0.2857142857142857,0.06633102949374226,0.5263157894736842,0.25,0.3602584432259065,1
2,0.43661971830985913,0.5157582976531564,0.21428571428571427,0.6645024557371285,0.5263157894736842,0.875,0.1412996459220905,1
3,0.5492957746478874,0.26919486205453436,0.3571428571428571,0.4999727631238581,0.3684210526315789,0.375,0.4828327898355598,1
4,0.6760563380281691,0.32963117964566635,0.07142857142857142,0.45564075822522054,0.21052631578947367,0.375,0.2277147849045349,1
5,0.4225352112676056,0.6792539892047345,0.42857142857142855,0.6469197942963032,0.21052631578947367,0.25,1.0328187999176206,1
6,0.4225352112676056,0.38029166532530667,0.42857142857142855,0.7617065807347478,0.3157894736842105,0.875,5.203935657741123,0
7,0.6760563380281691,0.31751601583877925,0.42857142857142855,0.570165239507238,0.7368421052631579,0.625,0.0120818556540621,1
8,0.5633802816901409,0.5724066145145886,0.42857142857142855,0.7431349057684151,0.5263157894736842,0.625,0.7785303854591541,1
9,0.39436619718309857,0.6768824646685767,0.21428571428571427,0.25610859855073087,0.5789473684210525,0.5,0.8525336039502516,1
10,0.5352112676056339,0.6017555720095719,0.3571428571428571,0.5979256095995655,0.15789473684210525,0.5,2.4558387215682544,0
11,0.39436619718309857,0.6463531103456416,0.14285714285714285,0.47502102252454315,0.3157894736842105,0.25,0.7052305609758809,1
12,0.39436619718309857,0.364216806704654,0.3571428571428571,0.3739475309459086,0.42105263157894735,0.5,0.7846079022631696,0
13,0.4929577464788732,0.2571655452896801,0.21428571428571427,0.19828792932170308,0.6842105263157895,0.375,0.6380016381407394,0
14,0.18309859154929578,0.7276931826717745,0.21428571428571427,0.5895833452407276,0.05263157894736842,0.875,0.3132109174877548,1
15,0.21126760563380284,0.4340855680391463,0.3571428571428571,0.6301693703628148,0.42105263157894735,0.625,0.0576599748053553,1
16,0.38028169014084506,0.4456534569530739,0.7857142857142857,0.7020578295903842,0.3157894736842105,0.5,0.5253602113389322,0
17,0.30985915492957744,0.6998143557716039,0.5,0.6765617308137578,0.3157894736842105,0.25,0.0540248862537981,1
18,0.5070422535211269,0.5755614933092961,0.5,0.37649039242601556,0.4736842105263158,0.625,0.7996026720760174,1
19,0.323943661971831,0.5594115185268648,0.2857142857142857,0.6941536972592072,0.3684210526315789,0.25,0.3671490972125069,0
20,0.2535211267605634,0.8345190956014121,0.07142857142857142,0.7104251944772086,0.4736842105263158,0.375,0.7627167930273524,0
21,0.6619718309859155,0.3824485722563822,0.2857142857142857,0.4553089040800369,0.5789473684210525,0.375,0.1442133442344864,0
22,0.4225352112676056,0.6353754198456899,0.3571428571428571,0.4997315639767007,0.3157894736842105,0.5,2.6975549554652365,1
23,0.4647887323943662,0.4952086619665412,0.2857142857142857,0.3514698907282362,0.3157894736842105,0.625,2.249245707004686,1
24,0.2535211267605634,0.5292577450128234,0.2857142857142857,0.7234462730418075,0.5789473684210525,0.375,0.2107167216981297,1
25,0.38028169014084506,0.7320606509351961,0.5,0.2625000324054598,0.3684210526315789,0.25,0.4207477195244278,1
26,0.4788732394366197,0.5677708742448142,0.42857142857142855,0.577751710155622,0.42105263157894735,0.5,0.9506047095822608,1
27,0.29577464788732394,0.5726748865209412,0.5714285714285714,0.4034263445956613,0.4736842105263158,0.625,0.1005788630086658,1
28,0.5070422535211269,0.6586614299971026,0.2857142857142857,0.3247159785041197,0.2631578947368421,0.375,0.4378351417849833,1
